,Course Title,Unit Count,Requisites,Course Description
177,235O. Seminar: Research in Organic Chemistry--Polymer Chemistry and Biomaterials,2.0,,"235O. Seminar: Research in Organic Chemistry--Polymer Chemistry and Biomaterials
Units: 2.0
Seminar/research group meeting, three hours. Advanced study and analysis of current topics in organic chemistry. Discussion of current research and literature in research specialty of faculty member teaching course. S/U grading.

"
178,235P. Seminar: Research in Organic Chemistry--Reaction Discovery and total Synthesis of Complex Molecules,2.0,,"235P. Seminar: Research in Organic Chemistry--Reaction Discovery and total Synthesis of Complex Molecules
Units: 2.0
Seminar/research group meeting, three hours. Advanced study and analysis of current topics in organic chemistry. Discussion of current research and literature in research specialty of faculty member teaching course. S/U grading.

"
179,235Q. Seminar: Research in Organic Chemistry--Synthetic Organic Chemistry Research,2.0,,"235Q. Seminar: Research in Organic Chemistry--Synthetic Organic Chemistry Research
Units: 2.0
Seminar/research group meeting, three hours. Advanced study and analysis of current topics in organic chemistry. Discussion of current research and literature in research specialty of faculty member teaching course. S/U grading.

"
180,"235R. Seminar: Research in Organic Chemistry--Fluorous Materials, Synthetic Chemistry, and Supermolecular Assembly",2.0,,"235R. Seminar: Research in Organic Chemistry--Fluorous Materials, Synthetic Chemistry, and Supermolecular Assembly
Units: 2.0
Seminar/research group meeting, three hours. Advanced study and analysis of current topics in organic chemistry. Discussion of current research and literature in research specialty of faculty member teaching course. S/U grading.

"
181,235S. Seminar: Research in Organic Chemistry--Synthetic Methods Development and Mechanistic Study,2.0,,"235S. Seminar: Research in Organic Chemistry--Synthetic Methods Development and Mechanistic Study
Units: 2.0
Seminar/research group meeting, three hours. Advanced study and analysis of current topics in organic chemistry. Discussion of current research and literature in research specialty of faculty member teaching course. S/U grading.

"
182,236. Spectroscopic Methods of Organic Chemistry  ,4.0,Chemistry and Biochemistry C243A,"236. Spectroscopic Methods of Organic Chemistry  
Units: 4.0
Lecture, three hours. Requisite or corequisite: course C243A. Problem solving using proton and carbon 13 nuclear magnetic resonance, infrared spectroscopy, and mass spectrometry; new techniques in NMR, IR, and MS, with emphasis on Fourier transform NMR. S/U or letter grading.

"
183,C238. Natural Product Biosynthesis: Chemical Logic and Enzymatic Machinery,4.0,,"C238. Natural Product Biosynthesis: Chemical Logic and Enzymatic Machinery
Units: 4.0
Lecture, three hours; discussion, one hour. Covers fundamental chemical logic and enzyme mechanisms involved in biosynthesis of natural products. Discussion of major classes of natural product including polyketides, nonribosomal peptides, terpenes, alkaloids. Emphasis on biosynthetic logic used by nature to form complex molecules. Discussion of several important enzyme families in context of biosynthesis, including assembly-line megasynthases, group transferases, oxidoreductases, etc. Historical account of natural product isolation and characterization, as well as modern account of synthetic biology and genome based efforts that are used in discovery of new natural products. Includes extensive survey of scientific literature in format of presentations and discussions. Concurrently scheduled with course C138. Letter grading.

"
184,C240. Bionanotechnology,4.0,Chemistry and Biochemistry 30C 110A,"C240. Bionanotechnology
Units: 4.0
Lecture, three hours. Requisites: courses 30C, 110A. Basic physical, chemical, and biological principles in bionanotechnology; materials and strategies for top-down and bottom-up fabrication of ordered biologically derived molecules, characterization and detection techniques, and biomimetic materials and applications at nanoscale. Concurrently scheduled with course C140. S/U or letter grading.

"
185,241A. Special Topics in Organic Chemistry  ,2.0 to 4.0,Chemistry and Biochemistry C243A,"241A. Special Topics in Organic Chemistry  
Units: 2.0 to 4.0
Lecture, two to four hours. Requisite or corequisite: course C243A. Each course encompasses one recognized specialty in organic chemistry, generally taught by faculty members whose research interests embrace that specialty. S/U or letter grading.

"
186,241B. Special Topics in Organic Chemistry  ,2.0 to 4.0,Chemistry and Biochemistry C243A,"241B. Special Topics in Organic Chemistry  
Units: 2.0 to 4.0
Lecture, two to four hours. Requisite or corequisite: course C243A. Each course encompasses one recognized specialty in organic chemistry, generally taught by faculty members whose research interests embrace that specialty. S/U or letter grading.

"
187,241D. Special Topics in Organic Chemistry,2.0 to 4.0,Chemistry and Biochemistry C243A,"241D. Special Topics in Organic Chemistry
Units: 2.0 to 4.0
Lecture, two to four hours. Requisite or corequisite: course C243A. Each course encompasses one recognized specialty in organic chemistry, generally taught by faculty members whose research interests embrace that specialty. S/U or letter grading.

"
188,241F. Special Topics in Organic Chemistry,2.0 to 4.0,Chemistry and Biochemistry C243A,"241F. Special Topics in Organic Chemistry
Units: 2.0 to 4.0
Lecture, two to four hours. Requisite or corequisite: course C243A. Each course encompasses one recognized specialty in organic chemistry, generally taught by faculty members whose research interests embrace that specialty. S/U or letter grading.

"
189,C243A. Structure and Mechanism in Organic Chemistry,4.0,Chemistry and Biochemistry 30C and Chemistry and Biochemistry 30CL (may be taken concurrently) 110B and 113A with grades of C- or better,"C243A. Structure and Mechanism in Organic Chemistry
Units: 4.0
Lecture, three hours; discussion, one hour. Requisites: courses 30C and 30CL (may be taken concurrently), 110B, and 113A, with grades of C- or better. Mechanisms of organic reactions. Acidity and acid catalysis; linear free energy relationships; isotope effects. Molecular orbital theory; photochemistry; pericyclic reactions. May be concurrently scheduled with course C143A. S/U or letter grading.

"
190,C243B. Organic Chemistry: Mechanism and Structure,4.0,Chemistry and Biochemistry C243A,"C243B. Organic Chemistry: Mechanism and Structure
Units: 4.0
Lecture, three hours; discussion, one hour. Requisite: course C243A. Mechanisms of organic reactions; structure and detection of reactive intermediates. May be concurrently scheduled with course C143B. S/U or letter grading.

"
191,244A. Organic Synthesis: Methodology and Stereochemistry  ,4.0,,"244A. Organic Synthesis: Methodology and Stereochemistry  
Units: 4.0
Lecture, three hours; discussion, one hour. Modern synthetic reactions and transformations involving organic substrates. Special emphasis on regents useful in asymmetric induction and stereoselective synthesis of structurally complex target molecules. S/U or letter grading.

"
192,244B. Strategy and Design in Organic Synthesis  ,4.0,Chemistry and Biochemistry C243A,"244B. Strategy and Design in Organic Synthesis  
Units: 4.0
Lecture, three hours. Requisite or corequisite: course C243A. Theory behind planning of syntheses of complex molecules from simpler ones. Organic reactions and their use in synthetic process. Reasoning and art involved in organic synthesis. S/U or letter grading.

"
193,C245. Theoretical and Computational Organic Chemistry,4.0,Chemistry and Biochemistry 30C 113A,"C245. Theoretical and Computational Organic Chemistry
Units: 4.0
Lecture, two hours; discussion, one hour; computer laboratory, one hour. Requisites: courses 30C, 113A. Applications of quantum mechanical concepts and methods to understand and predict organic structures and reactivities. Computational modeling methods, including laboratory experience with force-field and quantum mechanical computer calculations. Concurrently scheduled with course C145. S/U or letter grading.

"
194,247. Organic Colloquium,2.0,,"247. Organic Colloquium
Units: 2.0
Seminar, two hours. Seminars in organic chemistry and related areas presented by staff, outside speakers, postdoctoral fellows, and graduate students. May be repeated for credit. S/U or letter grading.

"
195,248. Organic Chemistry Student Seminar,2.0,,"248. Organic Chemistry Student Seminar
Units: 2.0
Seminar, two hours. Seminars presented by staff, outside speakers, postdoctoral fellows, and graduate students. Strongly recommended for first- and second-year organic chemistry graduate students. Presentation required if taken for letter grade. S/U or letter grading.

"
196,"249A. Methods of Materials Chemistry: Synthesis, Characterization, Physical Properties, Applications, and Devices",2.0,,"249A. Methods of Materials Chemistry: Synthesis, Characterization, Physical Properties, Applications, and Devices
Units: 2.0
Seminar, two hours. Designed for first-year graduate students to teach advanced problem-solving skills and critical thinking, with focus on problems and recent literature pertaining to materials chemistry. How materials are synthesized and characterized. Discussion of important physical properties, as well as broad range of applications and behavior in devices. S/U grading.

"
197,249B. Methods of Chemical Synthesis:cvdganic/Inorganic/Organometallic,2.0,,"249B. Methods of Chemical Synthesis:cvdganic/Inorganic/Organometallic
Units: 2.0
Seminar, two hours. Designed for first-year graduate students to teach advanced problem-solving skills and critical thinking, with focus on problems and recent literature pertaining to chemical synthesis of organic, inorganic, and organometallic compounds. S/U grading.

"
198,249C. Methods of Physical/Theoretical/Biophysical Chemistry,2.0,,"249C. Methods of Physical/Theoretical/Biophysical Chemistry
Units: 2.0
Seminar, two hours. Designed for first-year graduate students to teach advanced problem-solving skills and critical thinking, with focus on problems and recent literature pertaining to physical, theoretical, and biophysical chemistry. S/U grading.

"
199,C250. Research Methods and Integrity in Cellular and Molecular Biology,4.0,,"C250. Research Methods and Integrity in Cellular and Molecular Biology
Units: 4.0
Lecture, two hours; discussion, two hours. Data analysis and management, statistical methods, use of antibody and kit reagents, figure preparation, authorship, mentoring, human subjects protection, animal subject protection, and conflict of interest. May be repeated for credit. Concurrently scheduled with course C150. Letter grading.

"
200,"CM255. Mitochondria in Medicine, Biology, and Chemistry",1.0,,"CM255. Mitochondria in Medicine, Biology, and Chemistry
Units: 1.0
(Same as Biological Chemistry M255.) Seminar, two hours every other week. Open to undergraduate and graduate science majors considering or currently conducting research in areas related to mitochondria. Large number of physiological and pathophysiological processes involve mitochondrial function and dysfunction. Focus on understanding how mitochondria metabolism, form, and function impact health and disease. Physiology and cell biology of healthy and dysfunctional mitochondria critically assessed at subcellular, cellular, tissue, and organismal levels. Topics include in-depth analyses of literature and critical evaluation of experimental design and methods of current research. May be repeated for credit. Concurrently scheduled with course C155. S/U grading.

"
201,256B. Seminar: Research in Biochemistry--Biochemistry of Protein Function,2.0,,"256B. Seminar: Research in Biochemistry--Biochemistry of Protein Function
Units: 2.0
Seminar, three hours. Advanced study and analysis of current topics in biochemistry. Discussion of current research and literature in research specialty of faculty member teaching course. S/U grading.

"
202,256D. Seminar: Research in Biochemistry--Transcriptional Control Mechanisms in Drosophila Embryogenesis,2.0,,"256D. Seminar: Research in Biochemistry--Transcriptional Control Mechanisms in Drosophila Embryogenesis
Units: 2.0
Seminar, three hours. Advanced study and analysis of current topics in biochemistry. Discussion of current research and literature in research specialty of faculty member teaching course. S/U grading.

"
203,256F. Seminar: Research in Biochemistry--Current Topics in Prokaryotic Development,2.0,,"256F. Seminar: Research in Biochemistry--Current Topics in Prokaryotic Development
Units: 2.0
Seminar, three hours. Advanced study and analysis of current topics in biochemistry. Discussion of current research and literature in research specialty of faculty member teaching course. S/U grading.

"
204,256G. Seminar: Research in Biochemistry--Nucleic Acid Structure Determination by NMR,2.0,,"256G. Seminar: Research in Biochemistry--Nucleic Acid Structure Determination by NMR
Units: 2.0
Seminar, three hours. Advanced study and analysis of current topics in biochemistry. Discussion of current research and literature in research specialty of faculty member teaching course. S/U grading.

"
205,256J. Seminar: Research in Biochemistry--Contractile Proteins in Muscle Contraction and Cell Motility,2.0,,"256J. Seminar: Research in Biochemistry--Contractile Proteins in Muscle Contraction and Cell Motility
Units: 2.0
Seminar, three hours. Advanced study and analysis of current topics in biochemistry. Discussion of current research and literature in research specialty of faculty member teaching course. S/U grading.

"
206,256K. Seminar: Research in Biochemistry--Biochemistry and Molecular Biology of Chlamydomonas,2.0,,"256K. Seminar: Research in Biochemistry--Biochemistry and Molecular Biology of Chlamydomonas
Units: 2.0
Seminar, three hours. Advanced study and analysis of current topics in biochemistry. Discussion of current research and literature in research specialty of faculty member teaching course. S/U grading.

"
207,256L. Seminar: Research in Biochemistry--Literature of Structural Biology,2.0,,"256L. Seminar: Research in Biochemistry--Literature of Structural Biology
Units: 2.0
Seminar, three hours. Advanced study and analysis of current topics in biochemistry. Discussion of current research and literature in research specialty of faculty member teaching course. S/U grading.

"
208,256N. Seminar: Research in Biochemistry--Advanced Topics in Structural Biology,2.0,,"256N. Seminar: Research in Biochemistry--Advanced Topics in Structural Biology
Units: 2.0
Seminar, three hours. Advanced study and analysis of current topics in biochemistry. Discussion of current research and literature in research specialty of faculty member teaching course. S/U grading.

"
209,256O. Seminar: Research in Biochemistry--Membrane Biophysics,2.0,,"256O. Seminar: Research in Biochemistry--Membrane Biophysics
Units: 2.0
Seminar, three hours. Advanced study and analysis of current topics in biochemistry. Discussion of current research and literature in research specialty of faculty member teaching course. S/U grading.

"
210,256P. Seminar: Research in Biochemistry--Analysis of Protein Structure,2.0,,"256P. Seminar: Research in Biochemistry--Analysis of Protein Structure
Units: 2.0
Seminar, three hours. Advanced study and analysis of current topics in biochemistry. Discussion of current research and literature in research specialty of faculty member teaching course. S/U grading.

"
211,256Q. Seminar: Research in Biochemistry--Biochemistry and Function of Ubiquinone in Yeast and Higher Eukaryotes,2.0,,"256Q. Seminar: Research in Biochemistry--Biochemistry and Function of Ubiquinone in Yeast and Higher Eukaryotes
Units: 2.0
Seminar, three hours. Advanced study and analysis of current topics in biochemistry. Discussion of current research and literature in research specialty of faculty member teaching course. S/U grading.

"
212,256R. Seminar: Research in Biochemistry--Biomolecular Nuclear Magnetic Resonance Spectroscopy and Protein Structure,2.0,,"256R. Seminar: Research in Biochemistry--Biomolecular Nuclear Magnetic Resonance Spectroscopy and Protein Structure
Units: 2.0
Seminar, three hours. Advanced study and analysis of current topics in biochemistry. Discussion of current research and literature in research specialty of faculty member teaching course. S/U grading.

"
213,256S. Seminar: Research in Biochemistry--Proteome Bioinformatics,2.0,,"256S. Seminar: Research in Biochemistry--Proteome Bioinformatics
Units: 2.0
Seminar, three hours. Advanced study and analysis of current topics in biochemistry. Discussion of current research and literature in research specialty of faculty member teaching course. S/U grading.

"
214,256T. Seminar: Research in Biochemistry--RNA Processing and RNA Genomics,2.0,,"256T. Seminar: Research in Biochemistry--RNA Processing and RNA Genomics
Units: 2.0
Seminar, three hours. Advanced study and analysis of current topics in biochemistry. Discussion of current research and literature in research specialty of faculty member teaching course. S/U grading.

"
215,256U. Seminar: Research in Biochemistry--Mitochondrial Biogenesis and Link to Disease,2.0,,"256U. Seminar: Research in Biochemistry--Mitochondrial Biogenesis and Link to Disease
Units: 2.0
Seminar, three hours. Advanced study and analysis of current topics in biochemistry. Discussion of current research and literature in research specialty of faculty member teaching course. S/U grading.

"
216,256V. Seminar: Research in Biochemistry--Proteomics and Mass Spectrometry,2.0,,"256V. Seminar: Research in Biochemistry--Proteomics and Mass Spectrometry
Units: 2.0
Seminar, three hours. Advanced study and analysis of current topics in biochemistry. Discussion of current research and literature in research specialty of faculty member teaching course. S/U grading.

"
217,256W. Seminar: Research in Biochemistry--Cytoskeletal Dynamics during Drosophila Oogenesis,2.0,,"256W. Seminar: Research in Biochemistry--Cytoskeletal Dynamics during Drosophila Oogenesis
Units: 2.0
Seminar, three hours. Advanced study and analysis of current topics in biochemistry. Discussion of current research and literature in research specialty of faculty member teaching course. S/U grading.

"
218,256X. Seminar: Research in Biochemistry--Microtubule-Based Structures and Human Diseases,2.0,,"256X. Seminar: Research in Biochemistry--Microtubule-Based Structures and Human Diseases
Units: 2.0
Seminar, three hours. Advanced study and analysis of current topics in biochemistry. Discussion of current research and literature in research specialty of faculty member teaching course. S/U grading.

"
219,"256Y. Seminar: Research in Biochemistry--Research in Genomics: Biochemistry, Synthetic Biology, and Genomics",2.0,,"256Y. Seminar: Research in Biochemistry--Research in Genomics: Biochemistry, Synthetic Biology, and Genomics
Units: 2.0
Seminar, three hours. Advanced study and analysis of current topics in biochemistry. Discussion of current research and literature in research specialty of faculty member teaching course. S/U grading.

"
220,256Z. Seminar: Research in Biochemistry--Information Processing in Intracellular and Intercellular Signaling Networks,2.0,,"256Z. Seminar: Research in Biochemistry--Information Processing in Intracellular and Intercellular Signaling Networks
Units: 2.0
Seminar, three hours. Advanced study and analysis of current topics in biochemistry. Discussion of current research and literature in research specialty of faculty member teaching course. S/U grading.

"
221,257. Physical Chemistry of Biological Macromolecules,4.0,Chemistry and Biochemistry 153A,"257. Physical Chemistry of Biological Macromolecules
Units: 4.0
Lecture, one hour; discussion, one hour; laboratory, four hours. Requisite: course 153A. Theory of hydrodynamic, thermodynamic, and optical techniques used to study structure and function of biological macromolecules. S/U or letter grading.

"
222,258. Advanced Topics in Biochemistry and Molecular Biology,2.0,,"258. Advanced Topics in Biochemistry and Molecular Biology
Units: 2.0
Lecture, two hours. Critical analysis of experimental design and methods in biochemistry and molecular biology. In-depth analysis of literature in one or more areas of current research. May be repeated for credit. S/U or letter grading.

"
223,CM259. Mechanisms of Gene Regulation,4.0,Chemistry and Biochemistry 153B,"CM259. Mechanisms of Gene Regulation
Units: 4.0
(Same as Biological Chemistry M259.) Lecture, four hours. Requisite: course 153B. RNA polymerase structures and mechanisms; promoter recognition and transcription cycle; mechanisms of activation; transcriptional poising and elongation control; Mediator of transcription; chromatin remodeling and modification; epigenetic regulation; cotranscriptional and transcription-coupled RNA processing; impact of transcription on mRNA processing and stability; nuclear export of mRNA. Concurrently scheduled with course C159. S/U or letter grading.

"
224,CM260A. Introduction to Bioinformatics,4.0,Computer Science 32 or Program in Computing 10C with grade of C- or better and one course from Civil and Environmental Engineering 110 Electrical and Computer Engineering 131A Mathematics 170A Mathematics 170E or Statistics 100A,"CM260A. Introduction to Bioinformatics
Units: 4.0
(Same as Bioinformatics M221, Computer Science CM221, and Human Genetics M260A.) Lecture, four hours; discussion, two hours. Requisites: Computer Science 32 or Program in Computing 10C with grade of C- or better, and one course from Civil and Environmental Engineering 110, Electrical and Computer Engineering 131A, Mathematics 170A, Mathematics 170E, or Statistics 100A. Prior knowledge of biology not required. Designed for engineering students as well as students from biological sciences and medical school. Introduction to bioinformatics and methodologies, with emphasis on concepts and inventing new computational and statistical techniques to analyze biological data. Focus on sequence analysis and alignment algorithms. Concurrently scheduled with course CM160A. S/U or letter grading.

"
225,CM260B. Algorithms in Bioinformatics,4.0,Computer Science 32 or Program in Computing 10C with grade of C- or better and one course from Civil Engineering 110 Electrical and Computer Engineering 131A Mathematics 170A Mathematics 170E or Statistics 100A,"CM260B. Algorithms in Bioinformatics
Units: 4.0
(Same as Bioinformatics M222 and Computer Science CM222.) Lecture, four hours; discussion, two hours. Requisites: Computer Science 32 or Program in Computing 10C with grade of C- or better, and one course from Civil Engineering 110, Electrical and Computer Engineering 131A, Mathematics 170A, Mathematics 170E, or Statistics 100A. Course CM260A is not requisite to CM260B. Designed for engineering students as well as students from biological sciences and medical school. Development and application of computational approaches to biological questions, with focus on formulating interdisciplinary problems as computational problems and then solving these problems using algorithmic techniques. Computational techniques include those from statistics and computer science. Concurrently scheduled with course CM160B. Letter grading.

"
226,260BL. Advanced Bioinformatics Computational Laboratory,2.0,Chemistry and Biochemistry CM260A course CM260B,"260BL. Advanced Bioinformatics Computational Laboratory
Units: 2.0
Laboratory, four hours. Enforced requisite: course CM260A. Corequisite: course CM260B. Development and application of computational approaches to ask and answer biological questions by implementing variety of bioinformatics and systems biology algorithms. Advantages and disadvantages of different algorithmic methods for studying biological questions and preliminary understanding of how to compute statistical significance of results. Development of conceptual understanding of implementation of bioinformatics algorithms and foundation for how to do innovative work in these fields. Experience in observing impact of computational complexity of algorithms in computing solutions. S/U or letter grading.

"
227,262. Biochemistry and Molecular Biology of Protein Translocation Systems,3.0,Chemistry and Biochemistry 269A through Chemistry and Biochemistry 269D,"262. Biochemistry and Molecular Biology of Protein Translocation Systems
Units: 3.0
Lecture, two hours; discussion, two hours. Requisites: courses 269A through 269D. Protein translocation into nucleus, mitochondrion, peroxisome, chloroplast, endoplasmic reticulum, and protein export in bacteria. Letter grading.

"
228,263. Seminars in Chemical Biology,2.0,,"263. Seminars in Chemical Biology
Units: 2.0
Seminar, two hours. Seminars in chemical biology (broadly defined) presented by outside speakers, graduate students, postdoctoral fellows, and faculty/staff from diverse scientists. May be repeated for credit. S/U or letter grading.

"
229,C264. Free Radicals in Biology and Medicine,2.0 to 4.0,Chemistry and Biochemistry 153A and Chemistry and Biochemistry either 153B or 153C with grades of C- or better,"C264. Free Radicals in Biology and Medicine
Units: 2.0 to 4.0
Lecture, three hours. Enforced requisites: courses 153A and either 153B or 153C, with grades of C- or better. Biochemcial reactivity of dioxygen, its role in mitochondrial metabolism, neurodegenerative diseases, apoptosis, and aging. Discussion of radical reactions, how they are harnessed to achieve enzyme catalysis, and how free radicals contribute to or regulate essential biological processes. These same reactions run amok under certain types of stress and can contribute to wide variety of diseases, including neurodegenerative diseases (e.g., Huntington's, Parkinson's, and Alzheimer's diseases), mitochondrial diseases, atherosclerosis, and aging. Concurrently scheduled with course C164. S/U or letter grading.

"
230,C265. Metabolic Control by Protein Modification,4.0,Chemistry and Biochemistry 153A 153B Chemistry and Biochemistry 153C,"C265. Metabolic Control by Protein Modification
Units: 4.0
Lecture, three hours; discussion, one hour. Requisites: courses 153A, 153B, 153C. Biochemical basis of controlling metabolic pathways by posttranslational modification of proteins, including phosphorylation and methylation reactions. Concurrently scheduled with course C165. Letter grading.

"
231,266. Proteomics and Protein Mass Spectrometry,4.0,,"266. Proteomics and Protein Mass Spectrometry
Units: 4.0
Lecture, four hours. Essential technologies and concepts practiced in proteomics-based research, including methods for protein separation and display, protein quantitation, and protein identification. Emphasis on fundamentals of protein mass spectrometry. S/U or letter grading.

"
232,267. Nanoscience and Chemistry,4.0,Chemistry and Biochemistry 110A 113A Chemistry and Biochemistry 171 172,"267. Nanoscience and Chemistry
Units: 4.0
Lecture, four hours. Enforced requisites: courses 110A, 113A, 171, 172. Designed for advanced undergraduate and graduate students. Why nanoscience is important and interesting and critical role of chemistry in nanoscience. Chemistry and physics of variety of synthetic inorganic nanostructures, including metallic nanostructures (nanocrystals, nanorods, nanowires), semiconductor nanostructures (quantum dots/rods, nanowires, plates), and carbon nanostructures (fullerene, nanotubes, graphene). Discussion of synthetic approaches, structures, and physical properties, as well as potential technological opportunities of each. Letter grading.

"
233,268. Biochemistry Research Seminar  ,2.0,,"268. Biochemistry Research Seminar  
Units: 2.0
Seminar, two hours. Seminars presented by staff, outside speakers, postdoctoral fellows, and graduate students on topics of current biochemical research interest. May be repeated for credit. S/U or letter grading.

"
234,269A. Protein Structure,2.0,Chemistry and Biochemistry 153A 153B Chemistry and Biochemistry 153C 156,"269A. Protein Structure
Units: 2.0
Lecture, five hours; discussion, two hours. Requisites: courses 153A, 153B, 153C, 156. Three-dimensional structure of proteins. Forces that stabilize structure of soluble and membrane proteins. Kinetics of protein folding and role of chaperones. Prediction of protein structure from sequence. Letter grading.

"
235,269B. Biocatalysis and Bioenergetics,2.0,Chemistry and Biochemistry 153A 153B Chemistry and Biochemistry 153C 156,"269B. Biocatalysis and Bioenergetics
Units: 2.0
Lecture, five hours; discussion, two hours. Requisites: courses 153A, 153B, 153C, 156. Mechanisms and regulation of protein-mediated catalysis. Proteomics and metabolomics. Concepts in electron, proton, and energy transfer. Energy transducing membranes in chloroplasts and mitochondria. Letter grading.

"
236,269C. Nucleic Acid Structure and Catalysis,2.0,Chemistry and Biochemistry 153A 153B Chemistry and Biochemistry 153C 156,"269C. Nucleic Acid Structure and Catalysis
Units: 2.0
Lecture, five hours; discussion, two hours. Requisites: courses 153A, 153B, 153C, 156. Three-dimensional structure of DNA and RNA. Sequence-specific recognition of DNA and RNA. RNA-catalyzed processes, including self-splicing and peptide bond formation. Letter grading.

"
237,269D. Mechanism and Regulation of Gene Expression,2.0,Chemistry and Biochemistry 153A 153B Chemistry and Biochemistry 153C 156,"269D. Mechanism and Regulation of Gene Expression
Units: 2.0
Lecture, five hours; discussion, two hours. Requisites: courses 153A, 153B, 153C, 156. Mechanism and regulation of transcription in prokaryotes and eukaryotes. Mechanism and regulation of mRNA processing; mRNA export and degradation. Letter grading.

"
238,"269E. Biomolecular Structure, Catalysis, and Regulation",2.0,Chemistry and Biochemistry 153A 153B Chemistry and Biochemistry 153C 156,"269E. Biomolecular Structure, Catalysis, and Regulation
Units: 2.0
Lecture, five hours; discussion, two hours. Requisites: courses 153A, 153B, 153C, 156. Protein-protein interactions, proteomics, protein networks, regulatory circuits, cellular dynamics, imaging of cellular processes. Letter grading.

"
239,C270. Biochemistry and Molecular Biology of Photosynthetic Apparatus,2.0 to 4.0,Chemistry and Biochemistry 153A and Chemistry and Biochemistry 153B or Life Sciences 3 and 23L and course 153L,"C270. Biochemistry and Molecular Biology of Photosynthetic Apparatus
Units: 2.0 to 4.0
Lecture, two to three hours; discussion, zero to two hours. Requisites: courses 153A and 153B, or Life Sciences 3 and 23L, and course 153L. Recommended: courses 153C, 154, Life Sciences 4. Light harvesting, photochemistry, electron transfer, carbon fixation, carbohydrate metabolism, pigment synthesis in chloroplasts and bacteria. Assembly of photosynthetic membranes and regulation of genes encoding those components. Emphasis on understanding of experimental approaches. Concurrently scheduled with course CM170. S/U or letter grading.

"
240,271. Advanced Topics in Inorganic Chemistry  ,2.0 to 4.0,,"271. Advanced Topics in Inorganic Chemistry  
Units: 2.0 to 4.0
Lecture, two to four hours. Each offering encompasses one recognized specialty in inorganic chemistry, generally taught by faculty members whose research interests embrace that specialty. S/U or letter grading.

"
241,C272. Advanced Inorganic Chemistry,4.0,Chemistry and Biochemistry 171 with grade of C- or better,"C272. Advanced Inorganic Chemistry
Units: 4.0
Lecture, three hours; discussion, one hour. Requisite: course 171 with grade of C- or better. Systematic approach to modern inorganic chemistry, structure and bonding of inorganic molecules and solids, structure/reactivity relationships, vibrational spectra of complexes, electronic structure and ligand-field theory, mechanisms of inorganic reactions, bonding and spectroscopy of organometallic compounds, transition metals in catalysis and biology. Concurrently scheduled with course C172. S/U or letter grading.

"
242,272A. Seminar: Research in Inorganic Chemistry--Chemistry of Materials,2.0,,"272A. Seminar: Research in Inorganic Chemistry--Chemistry of Materials
Units: 2.0
Seminar, three hours. Advanced study and analysis of current topics in inorganic chemistry. Discussion of current research and literature in research specialty of faculty member teaching course. S/U grading.

"
243,272C. Seminar: Research in Inorganic Chemistry--Inorganic Spectroscopy,2.0,,"272C. Seminar: Research in Inorganic Chemistry--Inorganic Spectroscopy
Units: 2.0
Seminar, three hours. Advanced study and analysis of current topics in inorganic chemistry. Discussion of current research and literature in research specialty of faculty member teaching course. S/U grading.

"
244,272G. Seminar: Research in Inorganic Chemistry--Issues in Chemical Education,2.0,,"272G. Seminar: Research in Inorganic Chemistry--Issues in Chemical Education
Units: 2.0
Seminar, three hours. Advanced study and analysis of current topics in inorganic chemistry. Discussion of current research and literature in research specialty of faculty member teaching course. S/U grading.

"
245,272I. Seminar: Research in Inorganic Chemistry--Organometallic Chemistry,2.0,,"272I. Seminar: Research in Inorganic Chemistry--Organometallic Chemistry
Units: 2.0
Seminar, three hours. Advanced study and analysis of current topics in inorganic chemistry. Discussion of current research and literature in research specialty of faculty member teaching course. S/U grading.

"
246,"272K. Seminar: Research in Inorganic Chemistry--Inorganic Nanostructures: Synthesis, Properties, and Functions",2.0,,"272K. Seminar: Research in Inorganic Chemistry--Inorganic Nanostructures: Synthesis, Properties, and Functions
Units: 2.0
Seminar, three hours. Advanced study and analysis of current topics in inorganic chemistry. Discussion of current research and literature in research specialty of faculty member teaching course. S/U grading.

"
247,272L. Seminar: Research in Inorganic Chemistry--Molecular Materials,2.0,,"272L. Seminar: Research in Inorganic Chemistry--Molecular Materials
Units: 2.0
Seminar, three hours. Advanced study and analysis of current topics in inorganic chemistry. Discussion of current research and literature in research specialty of faculty member teaching course. S/U grading.

"
248,272M. Seminar: Research in Inorganic Chemistry--Methodology for Chemical Synthesis of Complex Molecules,2.0,,"272M. Seminar: Research in Inorganic Chemistry--Methodology for Chemical Synthesis of Complex Molecules
Units: 2.0
Seminar, three hours. Advanced study and analysis of current topics in inorganic chemistry. Discussion of current research and literature in research specialty of faculty member teaching course. S/U grading.

"
249,272N. Seminar: Research in Inorganic Chemistry--Electrochemical Materials and Interfaces,2.0,,"272N. Seminar: Research in Inorganic Chemistry--Electrochemical Materials and Interfaces
Units: 2.0
Seminar, three hours. Advanced study and analysis of current topics in inorganic chemistry. Discussion of current research and literature in research specialty of faculty member teaching course. S/U grading.

"
